Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 10, 'n_head': 5, 'n_kv_head': 5, 'n_embd': 640, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 5,242,880
  value_embeds            : 26,214,400
  lm_head                 : 5,242,880
  transformer_matrices    : 49,152,800
  scalars                 : 20
  total                   : 85,852,980
Estimated FLOPs per token: 4.286102e+08
Scaling AdamW LRs by 1/sqrt(640/768) = 1.095445
Time budget: 300s
Gradient accumulation steps: 4

step 00000 (0.0%) | loss: 9.010611 | lrm: 1.00 | dt: 18233ms | tok/sec: 14,377 | mfu: 0.6% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.201816 | lrm: 1.00 | dt: 689ms | tok/sec: 380,265 | mfu: 16.5% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.082382 | lrm: 1.00 | dt: 861ms | tok/sec: 304,530 | mfu: 13.2% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.759493 | lrm: 1.00 | dt: 741ms | tok/sec: 353,950 | mfu: 15.3% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.433277 | lrm: 1.00 | dt: 739ms | tok/sec: 354,685 | mfu: 15.4% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.107481 | lrm: 1.00 | dt: 778ms | tok/sec: 337,100 | mfu: 14.6% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.818863 | lrm: 1.00 | dt: 727ms | tok/sec: 360,697 | mfu: 15.6% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.568696 | lrm: 1.00 | dt: 920ms | tok/sec: 284,931 | mfu: 12.3% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.341653 | lrm: 1.00 | dt: 770ms | tok/sec: 340,485 | mfu: 14.7% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.135399 | lrm: 1.00 | dt: 864ms | tok/sec: 303,267 | mfu: 13.1% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.964889 | lrm: 1.00 | dt: 817ms | tok/sec: 320,784 | mfu: 13.9% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.805568 | lrm: 1.00 | dt: 853ms | tok/sec: 307,140 | mfu: 13.3% | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 6.659684 | lrm: 1.00 | dt: 749ms | tok/sec: 349,850 | mfu: 15.2% | epoch: 1 | remaining: 298s    
step 00013 (0.5%) | loss: 6.540987 | lrm: 1.00 | dt: 838ms | tok/sec: 312,800 | mfu: 13.5% | epoch: 1 | remaining: 298s    
step 00031 (5.7%) | loss: 5.485713 | lrm: 1.00 | dt: 695ms | tok/sec: 377,438 | mfu: 16.3% | epoch: 1 | remaining: 282s    
step 00032 (5.9%) | loss: 5.448876 | lrm: 1.00 | dt: 816ms | tok/sec: 321,094 | mfu: 13.9% | epoch: 1 | remaining: 281s    
step 00033 (6.2%) | loss: 5.420104 | lrm: 1.00 | dt: 783ms | tok/sec: 334,780 | mfu: 14.5% | epoch: 1 | remaining: 281s    
step 00034 (6.5%) | loss: 5.387699 | lrm: 1.00 | dt: 842ms | tok/sec: 311,443 | mfu: 13.5% | epoch: 1 | remaining: 280s    
step 00035 (6.7%) | loss: 5.355998 | lrm: 1.00 | dt: 712ms | tok/sec: 368,389 | mfu: 16.0% | epoch: 1 | remaining: 279s    
step 00036 (7.0%) | loss: 5.325795 | lrm: 1.00 | dt: 780ms | tok/sec: 336,195 | mfu: 14.6% | epoch: 1 | remaining: 278s    
step 00037 (7.2%) | loss: 5.298811 | lrm: 1.00 | dt: 835ms | tok/sec: 313,906 | mfu: 13.6% | epoch: 1 | remaining: 277s    
step 00038 (7.5%) | loss: 5.273424 | lrm: 1.00 | dt: 816ms | tok/sec: 321,395 | mfu: 13.9% | epoch: 1 | remaining: 277s    
step 00039 (7.8%) | loss: 5.246752 | lrm: 1.00 | dt: 932ms | tok/sec: 281,164 | mfu: 12.2% | epoch: 1 | remaining: 276s    
step 00040 (8.1%) | loss: 5.217493 | lrm: 1.00 | dt: 824ms | tok/sec: 318,185 | mfu: 13.8% | epoch: 1 | remaining: 275s    
step 00041 (8.4%) | loss: 5.187387 | lrm: 1.00 | dt: 877ms | tok/sec: 298,861 | mfu: 12.9% | epoch: 1 | remaining: 274s    
step 00042 (8.7%) | loss: 5.159366 | lrm: 1.00 | dt: 828ms | tok/sec: 316,658 | mfu: 13.7% | epoch: 1 | remaining: 273s    
step 00043 (8.9%) | loss: 5.126210 | lrm: 1.00 | dt: 706ms | tok/sec: 371,490 | mfu: 16.1% | epoch: 1 | remaining: 272s    
step 00044 (9.2%) | loss: 5.096416 | lrm: 1.00 | dt: 820ms | tok/sec: 319,679 | mfu: 13.8% | epoch: 1 | remaining: 272s    
step 00045 (9.4%) | loss: 5.074909 | lrm: 1.00 | dt: 877ms | tok/sec: 298,849 | mfu: 12.9% | epoch: 1 | remaining: 271s    
step 00046 (9.7%) | loss: 5.050978 | lrm: 1.00 | dt: 829ms | tok/sec: 316,226 | mfu: 13.7% | epoch: 1 | remaining: 270s    
step 00047 (10.0%) | loss: 5.023825 | lrm: 1.00 | dt: 795ms | tok/sec: 329,736 | mfu: 14.3% | epoch: 1 | remaining: 269s    
step 00048 (10.3%) | loss: 4.995938 | lrm: 1.00 | dt: 719ms | tok/sec: 364,595 | mfu: 15.8% | epoch: 1 | remaining: 268s    
step 00049 (10.5%) | loss: 4.972331 | lrm: 1.00 | dt: 876ms | tok/sec: 299,308 | mfu: 13.0% | epoch: 1 | remaining: 268s    
step 00050 (10.8%) | loss: 4.954882 | lrm: 1.00 | dt: 792ms | tok/sec: 331,063 | mfu: 14.3% | epoch: 1 | remaining: 267s    
step 00051 (11.1%) | loss: 4.926389 | lrm: 1.00 | dt: 852ms | tok/sec: 307,747 | mfu: 13.3% | epoch: 1 | remaining: 266s    
step 00052 (11.4%) | loss: 4.904510 | lrm: 1.00 | dt: 862ms | tok/sec: 304,135 | mfu: 13.2% | epoch: 1 | remaining: 265s    
step 00053 (11.6%) | loss: 4.878129 | lrm: 1.00 | dt: 728ms | tok/sec: 360,326 | mfu: 15.6% | epoch: 1 | remaining: 264s    
step 00054 (11.9%) | loss: 4.853927 | lrm: 1.00 | dt: 746ms | tok/sec: 351,494 | mfu: 15.2% | epoch: 1 | remaining: 264s    
step 00055 (12.1%) | loss: 4.832418 | lrm: 1.00 | dt: 793ms | tok/sec: 330,629 | mfu: 14.3% | epoch: 1 | remaining: 263s    
step 00056 (12.4%) | loss: 4.816258 | lrm: 1.00 | dt: 861ms | tok/sec: 304,442 | mfu: 13.2% | epoch: 1 | remaining: 262s    
step 00057 (12.7%) | loss: 4.800227 | lrm: 1.00 | dt: 728ms | tok/sec: 360,132 | mfu: 15.6% | epoch: 1 | remaining: 261s    
step 00058 (12.9%) | loss: 4.775732 | lrm: 1.00 | dt: 696ms | tok/sec: 376,862 | mfu: 16.3% | epoch: 1 | remaining: 261s    
step 00059 (13.2%) | loss: 4.751428 | lrm: 1.00 | dt: 781ms | tok/sec: 335,655 | mfu: 14.5% | epoch: 1 | remaining: 260s    
step 00060 (13.4%) | loss: 4.731288 | lrm: 1.00 | dt: 698ms | tok/sec: 375,619 | mfu: 16.3% | epoch: 1 | remaining: 259s    
step 00061 (13.7%) | loss: 4.708194 | lrm: 1.00 | dt: 850ms | tok/sec: 308,431 | mfu: 13.4% | epoch: 1 | remaining: 258s    
step 00062 (13.9%) | loss: 4.686251 | lrm: 1.00 | dt: 855ms | tok/sec: 306,591 | mfu: 13.3% | epoch: 1 | remaining: 257s    
step 00063 (14.2%) | loss: 4.671754 | lrm: 1.00 | dt: 815ms | tok/sec: 321,708 | mfu: 13.9% | epoch: 1 | remaining: 257s    
step 00064 (14.5%) | loss: 4.643246 | lrm: 1.00 | dt: 786ms | tok/sec: 333,621 | mfu: 14.5% | epoch: 1 | remaining: 256s    
step 00065 (14.8%) | loss: 4.620470 | lrm: 1.00 | dt: 755ms | tok/sec: 347,068 | mfu: 15.0% | epoch: 1 | remaining: 255s    
step 00066 (15.0%) | loss: 4.601031 | lrm: 1.00 | dt: 859ms | tok/sec: 305,177 | mfu: 13.2% | epoch: 1 | remaining: 254s    
step 00067 (15.3%) | loss: 4.583171 | lrm: 1.00 | dt: 762ms | tok/sec: 344,190 | mfu: 14.9% | epoch: 1 | remaining: 253s    
step 00068 (15.5%) | loss: 4.560270 | lrm: 1.00 | dt: 783ms | tok/sec: 334,920 | mfu: 14.5% | epoch: 1 | remaining: 253s    
step 00069 (15.8%) | loss: 4.538038 | lrm: 1.00 | dt: 929ms | tok/sec: 282,153 | mfu: 12.2% | epoch: 1 | remaining: 252s    
step 00070 (16.1%) | loss: 4.514239 | lrm: 1.00 | dt: 848ms | tok/sec: 309,003 | mfu: 13.4% | epoch: 1 | remaining: 251s    
step 00071 (16.4%) | loss: 4.494351 | lrm: 1.00 | dt: 897ms | tok/sec: 292,176 | mfu: 12.7% | epoch: 1 | remaining: 250s    
step 00072 (16.7%) | loss: 4.477264 | lrm: 1.00 | dt: 856ms | tok/sec: 306,358 | mfu: 13.3% | epoch: 1 | remaining: 249s    
step 00073 (17.0%) | loss: 4.450804 | lrm: 1.00 | dt: 825ms | tok/sec: 317,607 | mfu: 13.8% | epoch: 1 | remaining: 248s    
step 00074 (17.3%) | loss: 4.425652 | lrm: 1.00 | dt: 809ms | tok/sec: 323,907 | mfu: 14.0% | epoch: 1 | remaining: 247s    
step 00075 (17.5%) | loss: 4.403624 | lrm: 1.00 | dt: 829ms | tok/sec: 316,095 | mfu: 13.7% | epoch: 1 | remaining: 247s    
step 00076 (17.8%) | loss: 4.387375 | lrm: 1.00 | dt: 905ms | tok/sec: 289,718 | mfu: 12.5% | epoch: 1 | remaining: 246s    
step 00077 (18.1%) | loss: 4.366074 | lrm: 1.00 | dt: 802ms | tok/sec: 326,947 | mfu: 14.2% | epoch: 1 | remaining: 245s    
step 00078 (18.4%) | loss: 4.351405 | lrm: 1.00 | dt: 900ms | tok/sec: 291,383 | mfu: 12.6% | epoch: 1 | remaining: 244s    
step 00079 (18.7%) | loss: 4.329768 | lrm: 1.00 | dt: 753ms | tok/sec: 348,134 | mfu: 15.1% | epoch: 1 | remaining: 243s    
step 00080 (18.9%) | loss: 4.302244 | lrm: 1.00 | dt: 863ms | tok/sec: 303,630 | mfu: 13.2% | epoch: 1 | remaining: 242s    
step 00081 (19.2%) | loss: 4.285993 | lrm: 1.00 | dt: 711ms | tok/sec: 368,743 | mfu: 16.0% | epoch: 1 | remaining: 242s    
step 00082 (19.5%) | loss: 4.258803 | lrm: 1.00 | dt: 775ms | tok/sec: 338,300 | mfu: 14.7% | epoch: 1 | remaining: 241s    
step 00083 (19.7%) | loss: 4.237940 | lrm: 1.00 | dt: 878ms | tok/sec: 298,412 | mfu: 12.9% | epoch: 1 | remaining: 240s    
step 00084 (20.0%) | loss: 4.217805 | lrm: 1.00 | dt: 896ms | tok/sec: 292,431 | mfu: 12.7% | epoch: 1 | remaining: 239s    
step 00085 (20.3%) | loss: 4.201233 | lrm: 1.00 | dt: 968ms | tok/sec: 270,813 | mfu: 11.7% | epoch: 1 | remaining: 238s    
step 00086 (20.6%) | loss: 4.187489 | lrm: 1.00 | dt: 1042ms | tok/sec: 251,651 | mfu: 10.9% | epoch: 1 | remaining: 237s    
step 00087 (21.0%) | loss: 4.166226 | lrm: 1.00 | dt: 890ms | tok/sec: 294,641 | mfu: 12.8% | epoch: 1 | remaining: 236s    
step 00088 (21.3%) | loss: 4.145857 | lrm: 1.00 | dt: 733ms | tok/sec: 357,468 | mfu: 15.5% | epoch: 1 | remaining: 235s    
step 00089 (21.5%) | loss: 4.124657 | lrm: 1.00 | dt: 1019ms | tok/sec: 257,271 | mfu: 11.1% | epoch: 1 | remaining: 234s    
step 00090 (21.9%) | loss: 4.106239 | lrm: 1.00 | dt: 789ms | tok/sec: 332,199 | mfu: 14.4% | epoch: 1 | remaining: 234s    
step 00091 (22.1%) | loss: 4.099214 | lrm: 1.00 | dt: 769ms | tok/sec: 340,963 | mfu: 14.8% | epoch: 1 | remaining: 233s    
step 00092 (22.4%) | loss: 4.081024 | lrm: 1.00 | dt: 803ms | tok/sec: 326,316 | mfu: 14.1% | epoch: 1 | remaining: 232s    
step 00093 (22.6%) | loss: 4.061202 | lrm: 1.00 | dt: 822ms | tok/sec: 318,873 | mfu: 13.8% | epoch: 1 | remaining: 231s    
step 00094 (22.9%) | loss: 4.047072 | lrm: 1.00 | dt: 856ms | tok/sec: 306,203 | mfu: 13.3% | epoch: 1 | remaining: 230s    
step 00095 (23.2%) | loss: 4.021114 | lrm: 1.00 | dt: 781ms | tok/sec: 335,600 | mfu: 14.5% | epoch: 1 | remaining: 230s    
step 00096 (23.5%) | loss: 3.997371 | lrm: 1.00 | dt: 752ms | tok/sec: 348,517 | mfu: 15.1% | epoch: 1 | remaining: 229s    
step 00097 (23.7%) | loss: 3.990918 | lrm: 1.00 | dt: 826ms | tok/sec: 317,441 | mfu: 13.8% | epoch: 1 | remaining: 228s    
step 00098 (24.0%) | loss: 3.971984 | lrm: 1.00 | dt: 764ms | tok/sec: 343,193 | mfu: 14.9% | epoch: 1 | remaining: 227s    
step 00099 (24.2%) | loss: 3.952081 | lrm: 1.00 | dt: 713ms | tok/sec: 367,421 | mfu: 15.9% | epoch: 1 | remaining: 227s    
step 00100 (24.5%) | loss: 3.940676 | lrm: 1.00 | dt: 823ms | tok/sec: 318,683 | mfu: 13.8% | epoch: 1 | remaining: 226s    
step 00101 (24.8%) | loss: 3.928335 | lrm: 1.00 | dt: 926ms | tok/sec: 283,165 | mfu: 12.3% | epoch: 1 | remaining: 225s    
step 00102 (25.1%) | loss: 3.913514 | lrm: 1.00 | dt: 969ms | tok/sec: 270,602 | mfu: 11.7% | epoch: 1 | remaining: 224s    
step 00103 (25.4%) | loss: 3.906591 | lrm: 1.00 | dt: 837ms | tok/sec: 313,316 | mfu: 13.6% | epoch: 1 | remaining: 223s    
step 00104 (25.7%) | loss: 3.885957 | lrm: 1.00 | dt: 746ms | tok/sec: 351,522 | mfu: 15.2% | epoch: 1 | remaining: 222s    
step 00105 (25.9%) | loss: 3.869612 | lrm: 1.00 | dt: 943ms | tok/sec: 277,970 | mfu: 12.0% | epoch: 1 | remaining: 221s    
step 00106 (26.2%) | loss: 3.853645 | lrm: 1.00 | dt: 710ms | tok/sec: 369,043 | mfu: 16.0% | epoch: 1 | remaining: 221s    
step 00107 (26.5%) | loss: 3.850455 | lrm: 1.00 | dt: 798ms | tok/sec: 328,473 | mfu: 14.2% | epoch: 1 | remaining: 220s    
step 00108 (26.7%) | loss: 3.849707 | lrm: 1.00 | dt: 907ms | tok/sec: 288,866 | mfu: 12.5% | epoch: 1 | remaining: 219s    
step 00109 (27.0%) | loss: 3.843721 | lrm: 1.00 | dt: 831ms | tok/sec: 315,449 | mfu: 13.7% | epoch: 1 | remaining: 218s    
step 00110 (27.3%) | loss: 3.832086 | lrm: 1.00 | dt: 927ms | tok/sec: 282,922 | mfu: 12.3% | epoch: 1 | remaining: 217s    
step 00111 (27.6%) | loss: 3.813851 | lrm: 1.00 | dt: 713ms | tok/sec: 367,670 | mfu: 15.9% | epoch: 1 | remaining: 216s    
step 00112 (27.9%) | loss: 3.798949 | lrm: 1.00 | dt: 799ms | tok/sec: 328,101 | mfu: 14.2% | epoch: 1 | remaining: 216s    
step 00113 (28.1%) | loss: 3.790448 | lrm: 1.00 | dt: 702ms | tok/sec: 373,507 | mfu: 16.2% | epoch: 1 | remaining: 215s    
step 00114 (28.4%) | loss: 3.784294 | lrm: 1.00 | dt: 809ms | tok/sec: 323,982 | mfu: 14.0% | epoch: 1 | remaining: 214s    
step 00115 (28.6%) | loss: 3.778497 | lrm: 1.00 | dt: 805ms | tok/sec: 325,526 | mfu: 14.1% | epoch: 1 | remaining: 213s    
step 00116 (28.9%) | loss: 3.764959 | lrm: 1.00 | dt: 918ms | tok/sec: 285,714 | mfu: 12.4% | epoch: 1 | remaining: 212s    
step 00117 (29.2%) | loss: 3.753066 | lrm: 1.00 | dt: 828ms | tok/sec: 316,588 | mfu: 13.7% | epoch: 1 | remaining: 212s    
step 00118 (29.5%) | loss: 3.751135 | lrm: 1.00 | dt: 879ms | tok/sec: 298,070 | mfu: 12.9% | epoch: 1 | remaining: 211s    
step 00119 (29.8%) | loss: 3.747773 | lrm: 1.00 | dt: 859ms | tok/sec: 305,051 | mfu: 13.2% | epoch: 1 | remaining: 210s    
step 00120 (30.1%) | loss: 3.739808 | lrm: 1.00 | dt: 847ms | tok/sec: 309,606 | mfu: 13.4% | epoch: 1 | remaining: 209s    
step 00121 (30.3%) | loss: 3.732906 | lrm: 1.00 | dt: 892ms | tok/sec: 293,823 | mfu: 12.7% | epoch: 1 | remaining: 208s    
step 00122 (30.6%) | loss: 3.722656 | lrm: 1.00 | dt: 755ms | tok/sec: 347,403 | mfu: 15.0% | epoch: 1 | remaining: 207s    
step 00123 (30.9%) | loss: 3.706304 | lrm: 1.00 | dt: 853ms | tok/sec: 307,490 | mfu: 13.3% | epoch: 1 | remaining: 206s    
step 00124 (31.2%) | loss: 3.700716 | lrm: 1.00 | dt: 941ms | tok/sec: 278,694 | mfu: 12.1% | epoch: 1 | remaining: 206s    
step 00125 (31.5%) | loss: 3.696736 | lrm: 1.00 | dt: 918ms | tok/sec: 285,602 | mfu: 12.4% | epoch: 1 | remaining: 205s    
step 00126 (31.8%) | loss: 3.693345 | lrm: 1.00 | dt: 924ms | tok/sec: 283,673 | mfu: 12.3% | epoch: 1 | remaining: 204s    
step 00127 (32.1%) | loss: 3.695109 | lrm: 1.00 | dt: 921ms | tok/sec: 284,728 | mfu: 12.3% | epoch: 1 | remaining: 203s    
step 00128 (32.4%) | loss: 3.685350 | lrm: 1.00 | dt: 1030ms | tok/sec: 254,486 | mfu: 11.0% | epoch: 1 | remaining: 202s    
step 00129 (32.7%) | loss: 3.683059 | lrm: 1.00 | dt: 869ms | tok/sec: 301,612 | mfu: 13.1% | epoch: 1 | remaining: 201s    
step 00130 (33.0%) | loss: 3.672248 | lrm: 1.00 | dt: 799ms | tok/sec: 328,241 | mfu: 14.2% | epoch: 1 | remaining: 200s    
step 00131 (33.3%) | loss: 3.658580 | lrm: 1.00 | dt: 821ms | tok/sec: 319,463 | mfu: 13.8% | epoch: 1 | remaining: 199s    
step 00132 (33.6%) | loss: 3.655100 | lrm: 1.00 | dt: 772ms | tok/sec: 339,405 | mfu: 14.7% | epoch: 1 | remaining: 199s    
step 00133 (33.8%) | loss: 3.648733 | lrm: 1.00 | dt: 764ms | tok/sec: 343,089 | mfu: 14.9% | epoch: 1 | remaining: 198s    
step 00134 (34.1%) | loss: 3.643388 | lrm: 1.00 | dt: 850ms | tok/sec: 308,272 | mfu: 13.4% | epoch: 1 | remaining: 197s    
step 00135 (34.4%) | loss: 3.635589 | lrm: 1.00 | dt: 960ms | tok/sec: 273,191 | mfu: 11.8% | epoch: 1 | remaining: 196s    
step 00136 (34.7%) | loss: 3.628614 | lrm: 1.00 | dt: 947ms | tok/sec: 276,805 | mfu: 12.0% | epoch: 1 | remaining: 195s    
step 00137 (35.0%) | loss: 3.628235 | lrm: 1.00 | dt: 821ms | tok/sec: 319,343 | mfu: 13.8% | epoch: 1 | remaining: 194s    
step 00138 (35.3%) | loss: 3.620523 | lrm: 1.00 | dt: 1003ms | tok/sec: 261,370 | mfu: 11.3% | epoch: 1 | remaining: 193s    
step 00139 (35.6%) | loss: 3.625733 | lrm: 1.00 | dt: 1015ms | tok/sec: 258,189 | mfu: 11.2% | epoch: 1 | remaining: 192s    
step 00140 (36.0%) | loss: 3.608296 | lrm: 1.00 | dt: 945ms | tok/sec: 277,287 | mfu: 12.0% | epoch: 1 | remaining: 191s    
step 00141 (36.3%) | loss: 3.603168 | lrm: 1.00 | dt: 847ms | tok/sec: 309,642 | mfu: 13.4% | epoch: 1 | remaining: 190s    
step 00142 (36.5%) | loss: 3.603060 | lrm: 1.00 | dt: 1037ms | tok/sec: 252,723 | mfu: 10.9% | epoch: 1 | remaining: 189s    
step 00143 (36.9%) | loss: 3.598747 | lrm: 1.00 | dt: 926ms | tok/sec: 283,013 | mfu: 12.3% | epoch: 1 | remaining: 188s    
step 00144 (37.2%) | loss: 3.593750 | lrm: 1.00 | dt: 1099ms | tok/sec: 238,465 | mfu: 10.3% | epoch: 1 | remaining: 187s    
step 00145 (37.6%) | loss: 3.590858 | lrm: 1.00 | dt: 959ms | tok/sec: 273,370 | mfu: 11.8% | epoch: 1 | remaining: 186s    
step 00146 (37.9%) | loss: 3.590922 | lrm: 1.00 | dt: 924ms | tok/sec: 283,745 | mfu: 12.3% | epoch: 1 | remaining: 185s    
step 00147 (38.2%) | loss: 3.578593 | lrm: 1.00 | dt: 906ms | tok/sec: 289,345 | mfu: 12.5% | epoch: 1 | remaining: 184s    
step 00148 (38.5%) | loss: 3.575887 | lrm: 1.00 | dt: 832ms | tok/sec: 315,169 | mfu: 13.7% | epoch: 1 | remaining: 184s    
step 00149 (38.8%) | loss: 3.569047 | lrm: 1.00 | dt: 1161ms | tok/sec: 225,815 | mfu: 9.8% | epoch: 1 | remaining: 183s    
step 00150 (39.2%) | loss: 3.566750 | lrm: 1.00 | dt: 904ms | tok/sec: 290,014 | mfu: 12.6% | epoch: 1 | remaining: 182s    
step 00151 (39.5%) | loss: 3.564464 | lrm: 1.00 | dt: 1002ms | tok/sec: 261,629 | mfu: 11.3% | epoch: 1 | remaining: 181s    
step 00152 (39.8%) | loss: 3.559487 | lrm: 1.00 | dt: 982ms | tok/sec: 266,988 | mfu: 11.6% | epoch: 1 | remaining: 180s    
step 00153 (40.1%) | loss: 3.554234 | lrm: 1.00 | dt: 819ms | tok/sec: 320,093 | mfu: 13.9% | epoch: 1 | remaining: 179s    
step 00154 (40.4%) | loss: 3.556098 | lrm: 1.00 | dt: 936ms | tok/sec: 280,045 | mfu: 12.1% | epoch: 1 | remaining: 178s    
step 00155 (40.7%) | loss: 3.557940 | lrm: 1.00 | dt: 800ms | tok/sec: 327,481 | mfu: 14.2% | epoch: 1 | remaining: 177s    
