Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 10, 'n_head': 5, 'n_kv_head': 5, 'n_embd': 640, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 5,242,880
  value_embeds            : 26,214,400
  lm_head                 : 5,242,880
  transformer_matrices    : 49,152,800
  scalars                 : 20
  total                   : 85,852,980
Estimated FLOPs per token: 4.286102e+08
Scaling AdamW LRs by 1/sqrt(640/768) = 1.095445
Time budget: 300s
Gradient accumulation steps: 4

step 00000 (0.0%) | loss: 9.010611 | lrm: 1.00 | dt: 24071ms | tok/sec: 10,890 | mfu: 0.5% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.201816 | lrm: 1.00 | dt: 888ms | tok/sec: 295,116 | mfu: 12.8% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.082386 | lrm: 1.00 | dt: 935ms | tok/sec: 280,372 | mfu: 12.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.759513 | lrm: 1.00 | dt: 1034ms | tok/sec: 253,574 | mfu: 11.0% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.433337 | lrm: 1.00 | dt: 1071ms | tok/sec: 244,776 | mfu: 10.6% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.107570 | lrm: 1.00 | dt: 1065ms | tok/sec: 246,037 | mfu: 10.7% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.818989 | lrm: 1.00 | dt: 1069ms | tok/sec: 245,274 | mfu: 10.6% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.568892 | lrm: 1.00 | dt: 1140ms | tok/sec: 230,002 | mfu: 10.0% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.341811 | lrm: 1.00 | dt: 849ms | tok/sec: 308,766 | mfu: 13.4% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.135519 | lrm: 1.00 | dt: 968ms | tok/sec: 270,930 | mfu: 11.7% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.964974 | lrm: 1.00 | dt: 958ms | tok/sec: 273,581 | mfu: 11.9% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.805650 | lrm: 1.00 | dt: 1027ms | tok/sec: 255,322 | mfu: 11.1% | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 6.659787 | lrm: 1.00 | dt: 782ms | tok/sec: 335,178 | mfu: 14.5% | epoch: 1 | remaining: 298s    
step 00013 (0.6%) | loss: 6.541114 | lrm: 1.00 | dt: 1067ms | tok/sec: 245,727 | mfu: 10.6% | epoch: 1 | remaining: 297s    
step 00031 (6.4%) | loss: 5.486987 | lrm: 1.00 | dt: 946ms | tok/sec: 276,967 | mfu: 12.0% | epoch: 1 | remaining: 280s    
step 00032 (6.7%) | loss: 5.450316 | lrm: 1.00 | dt: 1008ms | tok/sec: 260,090 | mfu: 11.3% | epoch: 1 | remaining: 279s    
step 00033 (7.1%) | loss: 5.421873 | lrm: 1.00 | dt: 736ms | tok/sec: 356,229 | mfu: 15.4% | epoch: 1 | remaining: 278s    
step 00034 (7.3%) | loss: 5.389055 | lrm: 1.00 | dt: 1020ms | tok/sec: 257,104 | mfu: 11.1% | epoch: 1 | remaining: 277s    
step 00035 (7.7%) | loss: 5.357145 | lrm: 1.00 | dt: 884ms | tok/sec: 296,491 | mfu: 12.8% | epoch: 1 | remaining: 276s    
step 00036 (8.0%) | loss: 5.327336 | lrm: 1.00 | dt: 972ms | tok/sec: 269,633 | mfu: 11.7% | epoch: 1 | remaining: 275s    
step 00037 (8.3%) | loss: 5.301467 | lrm: 1.00 | dt: 1085ms | tok/sec: 241,653 | mfu: 10.5% | epoch: 1 | remaining: 274s    
step 00038 (8.6%) | loss: 5.276115 | lrm: 1.00 | dt: 910ms | tok/sec: 288,157 | mfu: 12.5% | epoch: 1 | remaining: 273s    
step 00039 (8.9%) | loss: 5.248735 | lrm: 1.00 | dt: 1139ms | tok/sec: 230,205 | mfu: 10.0% | epoch: 1 | remaining: 272s    
step 00040 (9.3%) | loss: 5.219915 | lrm: 1.00 | dt: 996ms | tok/sec: 263,220 | mfu: 11.4% | epoch: 1 | remaining: 271s    
step 00041 (9.7%) | loss: 5.189418 | lrm: 1.00 | dt: 953ms | tok/sec: 275,040 | mfu: 11.9% | epoch: 1 | remaining: 270s    
step 00042 (10.0%) | loss: 5.160421 | lrm: 1.00 | dt: 950ms | tok/sec: 276,066 | mfu: 12.0% | epoch: 1 | remaining: 269s    
step 00043 (10.3%) | loss: 5.127265 | lrm: 1.00 | dt: 853ms | tok/sec: 307,304 | mfu: 13.3% | epoch: 1 | remaining: 268s    
step 00044 (10.6%) | loss: 5.098297 | lrm: 1.00 | dt: 967ms | tok/sec: 271,158 | mfu: 11.7% | epoch: 1 | remaining: 267s    
step 00045 (10.9%) | loss: 5.076826 | lrm: 1.00 | dt: 859ms | tok/sec: 305,254 | mfu: 13.2% | epoch: 1 | remaining: 266s    
step 00046 (11.2%) | loss: 5.052594 | lrm: 1.00 | dt: 761ms | tok/sec: 344,547 | mfu: 14.9% | epoch: 1 | remaining: 266s    
step 00047 (11.4%) | loss: 5.025389 | lrm: 1.00 | dt: 899ms | tok/sec: 291,603 | mfu: 12.6% | epoch: 1 | remaining: 265s    
step 00048 (11.7%) | loss: 4.997124 | lrm: 1.00 | dt: 871ms | tok/sec: 301,074 | mfu: 13.0% | epoch: 1 | remaining: 264s    
step 00049 (12.0%) | loss: 4.973306 | lrm: 1.00 | dt: 1131ms | tok/sec: 231,771 | mfu: 10.0% | epoch: 1 | remaining: 263s    
step 00050 (12.4%) | loss: 4.955457 | lrm: 1.00 | dt: 1006ms | tok/sec: 260,640 | mfu: 11.3% | epoch: 1 | remaining: 262s    
step 00051 (12.7%) | loss: 4.926227 | lrm: 1.00 | dt: 939ms | tok/sec: 279,213 | mfu: 12.1% | epoch: 1 | remaining: 261s    
step 00052 (13.1%) | loss: 4.903971 | lrm: 1.00 | dt: 934ms | tok/sec: 280,613 | mfu: 12.2% | epoch: 1 | remaining: 260s    
step 00053 (13.4%) | loss: 4.878833 | lrm: 1.00 | dt: 795ms | tok/sec: 329,890 | mfu: 14.3% | epoch: 1 | remaining: 259s    
step 00054 (13.6%) | loss: 4.856322 | lrm: 1.00 | dt: 841ms | tok/sec: 311,799 | mfu: 13.5% | epoch: 1 | remaining: 258s    
step 00055 (13.9%) | loss: 4.834339 | lrm: 1.00 | dt: 1036ms | tok/sec: 253,010 | mfu: 11.0% | epoch: 1 | remaining: 257s    
step 00056 (14.3%) | loss: 4.817837 | lrm: 1.00 | dt: 968ms | tok/sec: 270,679 | mfu: 11.7% | epoch: 1 | remaining: 256s    
step 00057 (14.6%) | loss: 4.801914 | lrm: 1.00 | dt: 993ms | tok/sec: 264,103 | mfu: 11.4% | epoch: 1 | remaining: 255s    
step 00058 (14.9%) | loss: 4.777733 | lrm: 1.00 | dt: 940ms | tok/sec: 278,892 | mfu: 12.1% | epoch: 1 | remaining: 254s    
step 00059 (15.2%) | loss: 4.754244 | lrm: 1.00 | dt: 959ms | tok/sec: 273,377 | mfu: 11.8% | epoch: 1 | remaining: 253s    
step 00060 (15.5%) | loss: 4.734489 | lrm: 1.00 | dt: 785ms | tok/sec: 333,745 | mfu: 14.5% | epoch: 1 | remaining: 253s    
step 00061 (15.8%) | loss: 4.711420 | lrm: 1.00 | dt: 888ms | tok/sec: 295,044 | mfu: 12.8% | epoch: 1 | remaining: 252s    
step 00062 (16.1%) | loss: 4.689445 | lrm: 1.00 | dt: 886ms | tok/sec: 295,974 | mfu: 12.8% | epoch: 1 | remaining: 251s    
step 00063 (16.4%) | loss: 4.673420 | lrm: 1.00 | dt: 1005ms | tok/sec: 260,954 | mfu: 11.3% | epoch: 1 | remaining: 250s    
step 00064 (16.7%) | loss: 4.642549 | lrm: 1.00 | dt: 1098ms | tok/sec: 238,674 | mfu: 10.3% | epoch: 1 | remaining: 249s    
step 00065 (17.1%) | loss: 4.619136 | lrm: 1.00 | dt: 783ms | tok/sec: 334,816 | mfu: 14.5% | epoch: 1 | remaining: 248s    
step 00066 (17.4%) | loss: 4.599427 | lrm: 1.00 | dt: 1063ms | tok/sec: 246,671 | mfu: 10.7% | epoch: 1 | remaining: 247s    
step 00067 (17.7%) | loss: 4.581751 | lrm: 1.00 | dt: 1013ms | tok/sec: 258,761 | mfu: 11.2% | epoch: 1 | remaining: 246s    
step 00068 (18.0%) | loss: 4.558538 | lrm: 1.00 | dt: 1019ms | tok/sec: 257,331 | mfu: 11.1% | epoch: 1 | remaining: 245s    
step 00069 (18.4%) | loss: 4.535688 | lrm: 1.00 | dt: 1165ms | tok/sec: 225,067 | mfu: 9.7% | epoch: 1 | remaining: 244s    
step 00070 (18.8%) | loss: 4.512603 | lrm: 1.00 | dt: 833ms | tok/sec: 314,767 | mfu: 13.6% | epoch: 1 | remaining: 243s    
step 00071 (19.1%) | loss: 4.493455 | lrm: 1.00 | dt: 955ms | tok/sec: 274,391 | mfu: 11.9% | epoch: 1 | remaining: 242s    
step 00072 (19.4%) | loss: 4.477532 | lrm: 1.00 | dt: 773ms | tok/sec: 339,014 | mfu: 14.7% | epoch: 1 | remaining: 241s    
step 00073 (19.6%) | loss: 4.451169 | lrm: 1.00 | dt: 905ms | tok/sec: 289,795 | mfu: 12.6% | epoch: 1 | remaining: 240s    
step 00074 (19.9%) | loss: 4.426362 | lrm: 1.00 | dt: 1085ms | tok/sec: 241,578 | mfu: 10.5% | epoch: 1 | remaining: 239s    
step 00075 (20.3%) | loss: 4.404766 | lrm: 1.00 | dt: 974ms | tok/sec: 269,187 | mfu: 11.7% | epoch: 1 | remaining: 238s    
step 00076 (20.6%) | loss: 4.389538 | lrm: 1.00 | dt: 1035ms | tok/sec: 253,349 | mfu: 11.0% | epoch: 1 | remaining: 237s    
step 00077 (21.0%) | loss: 4.368109 | lrm: 1.00 | dt: 935ms | tok/sec: 280,445 | mfu: 12.1% | epoch: 1 | remaining: 236s    
step 00078 (21.3%) | loss: 4.353966 | lrm: 1.00 | dt: 875ms | tok/sec: 299,501 | mfu: 13.0% | epoch: 1 | remaining: 235s    
step 00079 (21.6%) | loss: 4.333302 | lrm: 1.00 | dt: 1042ms | tok/sec: 251,480 | mfu: 10.9% | epoch: 1 | remaining: 234s    
step 00080 (21.9%) | loss: 4.306710 | lrm: 1.00 | dt: 986ms | tok/sec: 265,906 | mfu: 11.5% | epoch: 1 | remaining: 233s    
step 00081 (22.2%) | loss: 4.290566 | lrm: 1.00 | dt: 878ms | tok/sec: 298,704 | mfu: 12.9% | epoch: 1 | remaining: 232s    
step 00082 (22.5%) | loss: 4.263135 | lrm: 1.00 | dt: 928ms | tok/sec: 282,488 | mfu: 12.2% | epoch: 1 | remaining: 231s    
step 00083 (22.8%) | loss: 4.241960 | lrm: 1.00 | dt: 976ms | tok/sec: 268,575 | mfu: 11.6% | epoch: 1 | remaining: 230s    
step 00084 (23.2%) | loss: 4.222708 | lrm: 1.00 | dt: 964ms | tok/sec: 271,868 | mfu: 11.8% | epoch: 1 | remaining: 230s    
step 00085 (23.5%) | loss: 4.207613 | lrm: 1.00 | dt: 1090ms | tok/sec: 240,532 | mfu: 10.4% | epoch: 1 | remaining: 228s    
step 00086 (23.9%) | loss: 4.192699 | lrm: 1.00 | dt: 899ms | tok/sec: 291,677 | mfu: 12.6% | epoch: 1 | remaining: 228s    
step 00087 (24.2%) | loss: 4.170284 | lrm: 1.00 | dt: 1021ms | tok/sec: 256,815 | mfu: 11.1% | epoch: 1 | remaining: 227s    
step 00088 (24.5%) | loss: 4.150299 | lrm: 1.00 | dt: 704ms | tok/sec: 372,273 | mfu: 16.1% | epoch: 1 | remaining: 226s    
step 00089 (24.7%) | loss: 4.129726 | lrm: 1.00 | dt: 1099ms | tok/sec: 238,457 | mfu: 10.3% | epoch: 1 | remaining: 225s    
step 00090 (25.1%) | loss: 4.110980 | lrm: 1.00 | dt: 1008ms | tok/sec: 259,982 | mfu: 11.3% | epoch: 1 | remaining: 224s    
step 00091 (25.4%) | loss: 4.103923 | lrm: 1.00 | dt: 932ms | tok/sec: 281,155 | mfu: 12.2% | epoch: 1 | remaining: 223s    
step 00092 (25.7%) | loss: 4.085588 | lrm: 1.00 | dt: 945ms | tok/sec: 277,397 | mfu: 12.0% | epoch: 1 | remaining: 222s    
step 00093 (26.1%) | loss: 4.065263 | lrm: 1.00 | dt: 955ms | tok/sec: 274,497 | mfu: 11.9% | epoch: 1 | remaining: 221s    
step 00094 (26.4%) | loss: 4.051711 | lrm: 1.00 | dt: 1096ms | tok/sec: 239,246 | mfu: 10.4% | epoch: 1 | remaining: 220s    
step 00095 (26.7%) | loss: 4.025671 | lrm: 1.00 | dt: 963ms | tok/sec: 272,255 | mfu: 11.8% | epoch: 1 | remaining: 219s    
step 00096 (27.1%) | loss: 3.999559 | lrm: 1.00 | dt: 991ms | tok/sec: 264,543 | mfu: 11.5% | epoch: 1 | remaining: 218s    
step 00097 (27.4%) | loss: 3.991176 | lrm: 1.00 | dt: 1187ms | tok/sec: 220,837 | mfu: 9.6% | epoch: 1 | remaining: 217s    
step 00098 (27.8%) | loss: 3.972239 | lrm: 1.00 | dt: 1017ms | tok/sec: 257,847 | mfu: 11.2% | epoch: 1 | remaining: 216s    
step 00099 (28.1%) | loss: 3.952401 | lrm: 1.00 | dt: 814ms | tok/sec: 322,071 | mfu: 14.0% | epoch: 1 | remaining: 215s    
step 00100 (28.4%) | loss: 3.941676 | lrm: 1.00 | dt: 1020ms | tok/sec: 256,878 | mfu: 11.1% | epoch: 1 | remaining: 214s    
step 00101 (28.7%) | loss: 3.930854 | lrm: 1.00 | dt: 813ms | tok/sec: 322,497 | mfu: 14.0% | epoch: 1 | remaining: 213s    
step 00102 (29.0%) | loss: 3.918204 | lrm: 1.00 | dt: 1105ms | tok/sec: 237,127 | mfu: 10.3% | epoch: 1 | remaining: 212s    
step 00103 (29.4%) | loss: 3.912291 | lrm: 1.00 | dt: 790ms | tok/sec: 331,939 | mfu: 14.4% | epoch: 1 | remaining: 211s    
step 00104 (29.6%) | loss: 3.891344 | lrm: 1.00 | dt: 924ms | tok/sec: 283,629 | mfu: 12.3% | epoch: 1 | remaining: 210s    
step 00105 (29.9%) | loss: 3.872834 | lrm: 1.00 | dt: 1255ms | tok/sec: 208,890 | mfu: 9.0% | epoch: 1 | remaining: 209s    
step 00106 (30.4%) | loss: 3.854885 | lrm: 1.00 | dt: 1017ms | tok/sec: 257,668 | mfu: 11.2% | epoch: 1 | remaining: 208s    
step 00107 (30.7%) | loss: 3.852710 | lrm: 1.00 | dt: 930ms | tok/sec: 281,869 | mfu: 12.2% | epoch: 1 | remaining: 207s    
step 00108 (31.0%) | loss: 3.853414 | lrm: 1.00 | dt: 985ms | tok/sec: 266,034 | mfu: 11.5% | epoch: 1 | remaining: 206s    
step 00109 (31.3%) | loss: 3.846529 | lrm: 1.00 | dt: 1116ms | tok/sec: 234,948 | mfu: 10.2% | epoch: 1 | remaining: 205s    
step 00110 (31.7%) | loss: 3.833607 | lrm: 1.00 | dt: 1012ms | tok/sec: 259,025 | mfu: 11.2% | epoch: 1 | remaining: 204s    
step 00111 (32.1%) | loss: 3.814586 | lrm: 1.00 | dt: 994ms | tok/sec: 263,675 | mfu: 11.4% | epoch: 1 | remaining: 203s    
step 00112 (32.4%) | loss: 3.799392 | lrm: 1.00 | dt: 978ms | tok/sec: 268,044 | mfu: 11.6% | epoch: 1 | remaining: 202s    
step 00113 (32.7%) | loss: 3.790510 | lrm: 1.00 | dt: 838ms | tok/sec: 312,914 | mfu: 13.6% | epoch: 1 | remaining: 201s    
step 00114 (33.0%) | loss: 3.783778 | lrm: 1.00 | dt: 841ms | tok/sec: 311,595 | mfu: 13.5% | epoch: 1 | remaining: 200s    
step 00115 (33.3%) | loss: 3.779521 | lrm: 1.00 | dt: 730ms | tok/sec: 358,979 | mfu: 15.5% | epoch: 1 | remaining: 199s    
step 00116 (33.5%) | loss: 3.766468 | lrm: 1.00 | dt: 774ms | tok/sec: 338,844 | mfu: 14.7% | epoch: 1 | remaining: 199s    
step 00117 (33.8%) | loss: 3.754434 | lrm: 1.00 | dt: 763ms | tok/sec: 343,576 | mfu: 14.9% | epoch: 1 | remaining: 198s    
step 00118 (34.0%) | loss: 3.750631 | lrm: 1.00 | dt: 886ms | tok/sec: 295,731 | mfu: 12.8% | epoch: 1 | remaining: 197s    
step 00119 (34.3%) | loss: 3.748249 | lrm: 1.00 | dt: 765ms | tok/sec: 342,814 | mfu: 14.8% | epoch: 1 | remaining: 196s    
step 00120 (34.6%) | loss: 3.739790 | lrm: 1.00 | dt: 802ms | tok/sec: 326,896 | mfu: 14.2% | epoch: 1 | remaining: 195s    
step 00121 (34.8%) | loss: 3.731410 | lrm: 1.00 | dt: 917ms | tok/sec: 285,828 | mfu: 12.4% | epoch: 1 | remaining: 195s    
step 00122 (35.1%) | loss: 3.721282 | lrm: 1.00 | dt: 810ms | tok/sec: 323,794 | mfu: 14.0% | epoch: 1 | remaining: 194s    
step 00123 (35.4%) | loss: 3.705913 | lrm: 1.00 | dt: 740ms | tok/sec: 354,348 | mfu: 15.3% | epoch: 1 | remaining: 193s    
step 00124 (35.7%) | loss: 3.700169 | lrm: 1.00 | dt: 815ms | tok/sec: 321,742 | mfu: 13.9% | epoch: 1 | remaining: 192s    
step 00125 (35.9%) | loss: 3.695319 | lrm: 1.00 | dt: 804ms | tok/sec: 326,208 | mfu: 14.1% | epoch: 1 | remaining: 191s    
step 00126 (36.2%) | loss: 3.690736 | lrm: 1.00 | dt: 813ms | tok/sec: 322,514 | mfu: 14.0% | epoch: 1 | remaining: 191s    
step 00127 (36.5%) | loss: 3.693281 | lrm: 1.00 | dt: 814ms | tok/sec: 322,098 | mfu: 14.0% | epoch: 1 | remaining: 190s    
step 00128 (36.7%) | loss: 3.683467 | lrm: 1.00 | dt: 980ms | tok/sec: 267,458 | mfu: 11.6% | epoch: 1 | remaining: 189s    
step 00129 (37.1%) | loss: 3.679918 | lrm: 1.00 | dt: 915ms | tok/sec: 286,474 | mfu: 12.4% | epoch: 1 | remaining: 188s    
step 00130 (37.4%) | loss: 3.667975 | lrm: 1.00 | dt: 899ms | tok/sec: 291,447 | mfu: 12.6% | epoch: 1 | remaining: 187s    
step 00131 (37.7%) | loss: 3.654669 | lrm: 1.00 | dt: 1017ms | tok/sec: 257,723 | mfu: 11.2% | epoch: 1 | remaining: 186s    
step 00132 (38.0%) | loss: 3.651440 | lrm: 1.00 | dt: 722ms | tok/sec: 363,026 | mfu: 15.7% | epoch: 1 | remaining: 185s    
step 00133 (38.3%) | loss: 3.645069 | lrm: 1.00 | dt: 847ms | tok/sec: 309,431 | mfu: 13.4% | epoch: 1 | remaining: 184s    
step 00134 (38.5%) | loss: 3.639579 | lrm: 1.00 | dt: 842ms | tok/sec: 311,331 | mfu: 13.5% | epoch: 1 | remaining: 184s    
step 00135 (38.8%) | loss: 3.632238 | lrm: 1.00 | dt: 854ms | tok/sec: 307,072 | mfu: 13.3% | epoch: 1 | remaining: 183s    
step 00136 (39.1%) | loss: 3.625842 | lrm: 1.00 | dt: 901ms | tok/sec: 291,048 | mfu: 12.6% | epoch: 1 | remaining: 182s    
step 00137 (39.4%) | loss: 3.626000 | lrm: 1.00 | dt: 799ms | tok/sec: 328,189 | mfu: 14.2% | epoch: 1 | remaining: 181s    
step 00138 (39.7%) | loss: 3.618828 | lrm: 1.00 | dt: 790ms | tok/sec: 331,743 | mfu: 14.4% | epoch: 1 | remaining: 180s    
step 00139 (39.9%) | loss: 3.624985 | lrm: 1.00 | dt: 745ms | tok/sec: 351,702 | mfu: 15.2% | epoch: 1 | remaining: 179s    
step 00140 (40.2%) | loss: 3.608589 | lrm: 1.00 | dt: 866ms | tok/sec: 302,780 | mfu: 13.1% | epoch: 1 | remaining: 179s    
step 00141 (40.5%) | loss: 3.603326 | lrm: 1.00 | dt: 790ms | tok/sec: 331,717 | mfu: 14.4% | epoch: 1 | remaining: 178s    
step 00142 (40.7%) | loss: 3.602363 | lrm: 1.00 | dt: 908ms | tok/sec: 288,708 | mfu: 12.5% | epoch: 1 | remaining: 177s    
step 00143 (41.0%) | loss: 3.598971 | lrm: 1.00 | dt: 912ms | tok/sec: 287,429 | mfu: 12.5% | epoch: 1 | remaining: 176s    
step 00144 (41.3%) | loss: 3.594433 | lrm: 1.00 | dt: 999ms | tok/sec: 262,513 | mfu: 11.4% | epoch: 1 | remaining: 175s    
step 00145 (41.7%) | loss: 3.590948 | lrm: 1.00 | dt: 879ms | tok/sec: 298,225 | mfu: 12.9% | epoch: 1 | remaining: 174s    
step 00146 (42.0%) | loss: 3.589602 | lrm: 1.00 | dt: 779ms | tok/sec: 336,583 | mfu: 14.6% | epoch: 1 | remaining: 173s    
step 00147 (42.2%) | loss: 3.577015 | lrm: 1.00 | dt: 764ms | tok/sec: 342,955 | mfu: 14.9% | epoch: 1 | remaining: 173s    
step 00148 (42.5%) | loss: 3.575021 | lrm: 1.00 | dt: 696ms | tok/sec: 376,598 | mfu: 16.3% | epoch: 1 | remaining: 172s    
step 00149 (42.7%) | loss: 3.568708 | lrm: 1.00 | dt: 749ms | tok/sec: 349,892 | mfu: 15.2% | epoch: 1 | remaining: 171s    
step 00150 (43.0%) | loss: 3.566375 | lrm: 1.00 | dt: 727ms | tok/sec: 360,420 | mfu: 15.6% | epoch: 1 | remaining: 170s    
step 00151 (43.2%) | loss: 3.563198 | lrm: 1.00 | dt: 747ms | tok/sec: 351,023 | mfu: 15.2% | epoch: 1 | remaining: 170s    
step 00152 (43.5%) | loss: 3.558038 | lrm: 1.00 | dt: 827ms | tok/sec: 317,107 | mfu: 13.7% | epoch: 1 | remaining: 169s    
step 00153 (43.7%) | loss: 3.553463 | lrm: 1.00 | dt: 820ms | tok/sec: 319,862 | mfu: 13.9% | epoch: 1 | remaining: 168s    
step 00154 (44.0%) | loss: 3.555832 | lrm: 1.00 | dt: 857ms | tok/sec: 305,909 | mfu: 13.3% | epoch: 1 | remaining: 167s    
step 00155 (44.3%) | loss: 3.558498 | lrm: 1.00 | dt: 696ms | tok/sec: 376,806 | mfu: 16.3% | epoch: 1 | remaining: 166s    
