Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 4

step 00000 (0.0%) | loss: 9.011502 | lrm: 1.00 | dt: 15004ms | tok/sec: 17,471 | mfu: 0.4% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.173245 | lrm: 1.00 | dt: 634ms | tok/sec: 413,481 | mfu: 10.0% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.965381 | lrm: 1.00 | dt: 768ms | tok/sec: 341,479 | mfu: 8.3% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.557679 | lrm: 1.00 | dt: 671ms | tok/sec: 390,877 | mfu: 9.4% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.143593 | lrm: 1.00 | dt: 645ms | tok/sec: 406,214 | mfu: 9.8% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.778100 | lrm: 1.00 | dt: 794ms | tok/sec: 330,124 | mfu: 8.0% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.483069 | lrm: 1.00 | dt: 710ms | tok/sec: 369,194 | mfu: 8.9% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.239952 | lrm: 1.00 | dt: 789ms | tok/sec: 332,214 | mfu: 8.0% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.028476 | lrm: 1.00 | dt: 714ms | tok/sec: 367,005 | mfu: 8.9% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.843670 | lrm: 1.00 | dt: 825ms | tok/sec: 317,694 | mfu: 7.7% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.693575 | lrm: 1.00 | dt: 739ms | tok/sec: 354,495 | mfu: 8.6% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.554401 | lrm: 1.00 | dt: 840ms | tok/sec: 312,112 | mfu: 7.5% | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 6.429753 | lrm: 1.00 | dt: 704ms | tok/sec: 372,444 | mfu: 9.0% | epoch: 1 | remaining: 298s    
step 00013 (0.5%) | loss: 6.331214 | lrm: 1.00 | dt: 821ms | tok/sec: 319,304 | mfu: 7.7% | epoch: 1 | remaining: 298s    
step 00031 (4.8%) | loss: 5.449151 | lrm: 1.00 | dt: 723ms | tok/sec: 362,649 | mfu: 8.8% | epoch: 1 | remaining: 285s    
step 00032 (5.1%) | loss: 5.416788 | lrm: 1.00 | dt: 633ms | tok/sec: 413,876 | mfu: 10.0% | epoch: 1 | remaining: 284s    
step 00033 (5.3%) | loss: 5.392394 | lrm: 1.00 | dt: 429ms | tok/sec: 611,657 | mfu: 14.8% | epoch: 1 | remaining: 284s    
step 00034 (5.4%) | loss: 5.362924 | lrm: 1.00 | dt: 536ms | tok/sec: 489,051 | mfu: 11.8% | epoch: 1 | remaining: 283s    
step 00035 (5.6%) | loss: 5.335057 | lrm: 1.00 | dt: 590ms | tok/sec: 444,419 | mfu: 10.7% | epoch: 1 | remaining: 283s    
step 00036 (5.8%) | loss: 5.309664 | lrm: 1.00 | dt: 682ms | tok/sec: 384,314 | mfu: 9.3% | epoch: 1 | remaining: 282s    
step 00037 (6.0%) | loss: 5.286799 | lrm: 1.00 | dt: 567ms | tok/sec: 462,089 | mfu: 11.2% | epoch: 1 | remaining: 281s    
step 00038 (6.2%) | loss: 5.263561 | lrm: 1.00 | dt: 530ms | tok/sec: 494,635 | mfu: 12.0% | epoch: 1 | remaining: 281s    
step 00039 (6.4%) | loss: 5.239293 | lrm: 1.00 | dt: 550ms | tok/sec: 476,926 | mfu: 11.5% | epoch: 1 | remaining: 280s    
step 00040 (6.6%) | loss: 5.214006 | lrm: 1.00 | dt: 521ms | tok/sec: 502,703 | mfu: 12.1% | epoch: 1 | remaining: 280s    
step 00041 (6.8%) | loss: 5.186132 | lrm: 1.00 | dt: 632ms | tok/sec: 414,739 | mfu: 10.0% | epoch: 1 | remaining: 279s    
step 00042 (7.0%) | loss: 5.160418 | lrm: 1.00 | dt: 615ms | tok/sec: 426,245 | mfu: 10.3% | epoch: 1 | remaining: 278s    
step 00043 (7.2%) | loss: 5.129237 | lrm: 1.00 | dt: 528ms | tok/sec: 496,041 | mfu: 12.0% | epoch: 1 | remaining: 278s    
step 00044 (7.4%) | loss: 5.100471 | lrm: 1.00 | dt: 578ms | tok/sec: 453,443 | mfu: 11.0% | epoch: 1 | remaining: 277s    
step 00045 (7.6%) | loss: 5.080914 | lrm: 1.00 | dt: 505ms | tok/sec: 518,933 | mfu: 12.5% | epoch: 1 | remaining: 277s    
step 00046 (7.7%) | loss: 5.058684 | lrm: 1.00 | dt: 607ms | tok/sec: 432,047 | mfu: 10.4% | epoch: 1 | remaining: 276s    
step 00047 (7.9%) | loss: 5.032300 | lrm: 1.00 | dt: 578ms | tok/sec: 453,240 | mfu: 11.0% | epoch: 1 | remaining: 276s    
step 00048 (8.1%) | loss: 5.006305 | lrm: 1.00 | dt: 534ms | tok/sec: 490,744 | mfu: 11.9% | epoch: 1 | remaining: 275s    
step 00049 (8.3%) | loss: 4.983064 | lrm: 1.00 | dt: 561ms | tok/sec: 467,613 | mfu: 11.3% | epoch: 1 | remaining: 275s    
step 00050 (8.5%) | loss: 4.965386 | lrm: 1.00 | dt: 488ms | tok/sec: 536,869 | mfu: 13.0% | epoch: 1 | remaining: 274s    
step 00051 (8.6%) | loss: 4.935637 | lrm: 1.00 | dt: 516ms | tok/sec: 507,633 | mfu: 12.3% | epoch: 1 | remaining: 274s    
step 00052 (8.8%) | loss: 4.913417 | lrm: 1.00 | dt: 568ms | tok/sec: 461,646 | mfu: 11.2% | epoch: 1 | remaining: 273s    
step 00053 (9.0%) | loss: 4.887144 | lrm: 1.00 | dt: 552ms | tok/sec: 474,946 | mfu: 11.5% | epoch: 1 | remaining: 272s    
step 00054 (9.2%) | loss: 4.862985 | lrm: 1.00 | dt: 583ms | tok/sec: 449,335 | mfu: 10.9% | epoch: 1 | remaining: 272s    
step 00055 (9.4%) | loss: 4.840960 | lrm: 1.00 | dt: 617ms | tok/sec: 424,891 | mfu: 10.3% | epoch: 1 | remaining: 271s    
step 00056 (9.6%) | loss: 4.824246 | lrm: 1.00 | dt: 528ms | tok/sec: 496,833 | mfu: 12.0% | epoch: 1 | remaining: 271s    
step 00057 (9.8%) | loss: 4.807274 | lrm: 1.00 | dt: 615ms | tok/sec: 426,430 | mfu: 10.3% | epoch: 1 | remaining: 270s    
step 00058 (10.0%) | loss: 4.781410 | lrm: 1.00 | dt: 633ms | tok/sec: 414,008 | mfu: 10.0% | epoch: 1 | remaining: 269s    
step 00059 (10.2%) | loss: 4.757479 | lrm: 1.00 | dt: 659ms | tok/sec: 397,800 | mfu: 9.6% | epoch: 1 | remaining: 269s    
step 00060 (10.4%) | loss: 4.736880 | lrm: 1.00 | dt: 568ms | tok/sec: 461,827 | mfu: 11.2% | epoch: 1 | remaining: 268s    
step 00061 (10.6%) | loss: 4.712406 | lrm: 1.00 | dt: 576ms | tok/sec: 455,059 | mfu: 11.0% | epoch: 1 | remaining: 268s    
step 00062 (10.8%) | loss: 4.688624 | lrm: 1.00 | dt: 659ms | tok/sec: 397,655 | mfu: 9.6% | epoch: 1 | remaining: 267s    
step 00063 (11.0%) | loss: 4.671865 | lrm: 1.00 | dt: 639ms | tok/sec: 410,441 | mfu: 9.9% | epoch: 1 | remaining: 266s    
step 00064 (11.2%) | loss: 4.641064 | lrm: 1.00 | dt: 719ms | tok/sec: 364,593 | mfu: 8.8% | epoch: 1 | remaining: 266s    
step 00065 (11.5%) | loss: 4.617265 | lrm: 1.00 | dt: 649ms | tok/sec: 404,180 | mfu: 9.8% | epoch: 1 | remaining: 265s    
step 00066 (11.7%) | loss: 4.597421 | lrm: 1.00 | dt: 696ms | tok/sec: 376,860 | mfu: 9.1% | epoch: 1 | remaining: 264s    
step 00067 (11.9%) | loss: 4.579105 | lrm: 1.00 | dt: 580ms | tok/sec: 452,078 | mfu: 10.9% | epoch: 1 | remaining: 264s    
step 00068 (12.1%) | loss: 4.556650 | lrm: 1.00 | dt: 683ms | tok/sec: 383,947 | mfu: 9.3% | epoch: 1 | remaining: 263s    
step 00069 (12.3%) | loss: 4.534475 | lrm: 1.00 | dt: 691ms | tok/sec: 379,220 | mfu: 9.2% | epoch: 1 | remaining: 262s    
step 00070 (12.6%) | loss: 4.512247 | lrm: 1.00 | dt: 589ms | tok/sec: 445,286 | mfu: 10.8% | epoch: 1 | remaining: 262s    
step 00071 (12.7%) | loss: 4.493642 | lrm: 1.00 | dt: 663ms | tok/sec: 395,664 | mfu: 9.6% | epoch: 1 | remaining: 261s    
step 00072 (13.0%) | loss: 4.478163 | lrm: 1.00 | dt: 619ms | tok/sec: 423,702 | mfu: 10.2% | epoch: 1 | remaining: 260s    
step 00073 (13.2%) | loss: 4.452888 | lrm: 1.00 | dt: 621ms | tok/sec: 421,803 | mfu: 10.2% | epoch: 1 | remaining: 260s    
step 00074 (13.4%) | loss: 4.429341 | lrm: 1.00 | dt: 537ms | tok/sec: 488,438 | mfu: 11.8% | epoch: 1 | remaining: 259s    
step 00075 (13.6%) | loss: 4.408025 | lrm: 1.00 | dt: 587ms | tok/sec: 446,794 | mfu: 10.8% | epoch: 1 | remaining: 259s    
step 00076 (13.8%) | loss: 4.391830 | lrm: 1.00 | dt: 599ms | tok/sec: 437,608 | mfu: 10.6% | epoch: 1 | remaining: 258s    
step 00077 (14.0%) | loss: 4.372552 | lrm: 1.00 | dt: 558ms | tok/sec: 469,908 | mfu: 11.4% | epoch: 1 | remaining: 258s    
step 00078 (14.1%) | loss: 4.359099 | lrm: 1.00 | dt: 587ms | tok/sec: 446,673 | mfu: 10.8% | epoch: 1 | remaining: 257s    
step 00079 (14.3%) | loss: 4.337824 | lrm: 1.00 | dt: 481ms | tok/sec: 545,031 | mfu: 13.2% | epoch: 1 | remaining: 257s    
step 00080 (14.5%) | loss: 4.311829 | lrm: 1.00 | dt: 551ms | tok/sec: 476,051 | mfu: 11.5% | epoch: 1 | remaining: 256s    
step 00081 (14.7%) | loss: 4.295906 | lrm: 1.00 | dt: 462ms | tok/sec: 567,997 | mfu: 13.7% | epoch: 1 | remaining: 255s    
step 00082 (14.8%) | loss: 4.268291 | lrm: 1.00 | dt: 494ms | tok/sec: 531,004 | mfu: 12.8% | epoch: 1 | remaining: 255s    
step 00083 (15.0%) | loss: 4.246994 | lrm: 1.00 | dt: 521ms | tok/sec: 502,760 | mfu: 12.1% | epoch: 1 | remaining: 254s    
step 00084 (15.2%) | loss: 4.227751 | lrm: 1.00 | dt: 520ms | tok/sec: 503,990 | mfu: 12.2% | epoch: 1 | remaining: 254s    
step 00085 (15.3%) | loss: 4.214260 | lrm: 1.00 | dt: 490ms | tok/sec: 534,928 | mfu: 12.9% | epoch: 1 | remaining: 253s    
step 00086 (15.5%) | loss: 4.202087 | lrm: 1.00 | dt: 558ms | tok/sec: 469,424 | mfu: 11.3% | epoch: 1 | remaining: 253s    
step 00087 (15.7%) | loss: 4.183041 | lrm: 1.00 | dt: 590ms | tok/sec: 444,152 | mfu: 10.7% | epoch: 1 | remaining: 252s    
step 00088 (15.9%) | loss: 4.166258 | lrm: 1.00 | dt: 509ms | tok/sec: 515,081 | mfu: 12.4% | epoch: 1 | remaining: 252s    
step 00089 (16.1%) | loss: 4.146944 | lrm: 1.00 | dt: 534ms | tok/sec: 490,472 | mfu: 11.9% | epoch: 1 | remaining: 251s    
step 00090 (16.2%) | loss: 4.128909 | lrm: 1.00 | dt: 580ms | tok/sec: 451,642 | mfu: 10.9% | epoch: 1 | remaining: 251s    
step 00091 (16.4%) | loss: 4.123433 | lrm: 1.00 | dt: 540ms | tok/sec: 485,571 | mfu: 11.7% | epoch: 1 | remaining: 250s    
step 00092 (16.6%) | loss: 4.106618 | lrm: 1.00 | dt: 483ms | tok/sec: 542,346 | mfu: 13.1% | epoch: 1 | remaining: 250s    
step 00093 (16.8%) | loss: 4.087933 | lrm: 1.00 | dt: 479ms | tok/sec: 547,344 | mfu: 13.2% | epoch: 1 | remaining: 249s    
step 00094 (16.9%) | loss: 4.074976 | lrm: 1.00 | dt: 522ms | tok/sec: 502,521 | mfu: 12.1% | epoch: 1 | remaining: 249s    
step 00095 (17.1%) | loss: 4.049440 | lrm: 1.00 | dt: 429ms | tok/sec: 611,229 | mfu: 14.8% | epoch: 1 | remaining: 248s    
step 00096 (17.3%) | loss: 4.025448 | lrm: 1.00 | dt: 568ms | tok/sec: 461,435 | mfu: 11.1% | epoch: 1 | remaining: 248s    
step 00097 (17.4%) | loss: 4.018568 | lrm: 1.00 | dt: 506ms | tok/sec: 517,628 | mfu: 12.5% | epoch: 1 | remaining: 247s    
step 00098 (17.6%) | loss: 3.999943 | lrm: 1.00 | dt: 458ms | tok/sec: 571,811 | mfu: 13.8% | epoch: 1 | remaining: 247s    
step 00099 (17.8%) | loss: 3.981165 | lrm: 1.00 | dt: 442ms | tok/sec: 593,665 | mfu: 14.3% | epoch: 1 | remaining: 246s    
step 00100 (17.9%) | loss: 3.972502 | lrm: 1.00 | dt: 528ms | tok/sec: 496,218 | mfu: 12.0% | epoch: 1 | remaining: 246s    
step 00101 (18.1%) | loss: 3.964905 | lrm: 1.00 | dt: 439ms | tok/sec: 596,647 | mfu: 14.4% | epoch: 1 | remaining: 245s    
step 00102 (18.2%) | loss: 3.953031 | lrm: 1.00 | dt: 555ms | tok/sec: 472,455 | mfu: 11.4% | epoch: 1 | remaining: 245s    
step 00103 (18.4%) | loss: 3.947083 | lrm: 1.00 | dt: 478ms | tok/sec: 548,312 | mfu: 13.2% | epoch: 1 | remaining: 244s    
step 00104 (18.6%) | loss: 3.926437 | lrm: 1.00 | dt: 455ms | tok/sec: 576,284 | mfu: 13.9% | epoch: 1 | remaining: 244s    
step 00105 (18.7%) | loss: 3.909318 | lrm: 1.00 | dt: 540ms | tok/sec: 485,139 | mfu: 11.7% | epoch: 1 | remaining: 243s    
step 00106 (18.9%) | loss: 3.891583 | lrm: 1.00 | dt: 534ms | tok/sec: 490,787 | mfu: 11.9% | epoch: 1 | remaining: 243s    
step 00107 (19.1%) | loss: 3.887339 | lrm: 1.00 | dt: 470ms | tok/sec: 557,177 | mfu: 13.5% | epoch: 1 | remaining: 242s    
step 00108 (19.2%) | loss: 3.887613 | lrm: 1.00 | dt: 501ms | tok/sec: 523,554 | mfu: 12.6% | epoch: 1 | remaining: 242s    
step 00109 (19.4%) | loss: 3.882505 | lrm: 1.00 | dt: 564ms | tok/sec: 465,139 | mfu: 11.2% | epoch: 1 | remaining: 241s    
step 00110 (19.6%) | loss: 3.872749 | lrm: 1.00 | dt: 503ms | tok/sec: 520,820 | mfu: 12.6% | epoch: 1 | remaining: 241s    
step 00111 (19.8%) | loss: 3.853012 | lrm: 1.00 | dt: 457ms | tok/sec: 573,568 | mfu: 13.9% | epoch: 1 | remaining: 240s    
step 00112 (19.9%) | loss: 3.838410 | lrm: 1.00 | dt: 561ms | tok/sec: 467,206 | mfu: 11.3% | epoch: 1 | remaining: 240s    
step 00113 (20.1%) | loss: 3.830018 | lrm: 1.00 | dt: 534ms | tok/sec: 491,248 | mfu: 11.9% | epoch: 1 | remaining: 239s    
step 00114 (20.3%) | loss: 3.824710 | lrm: 1.00 | dt: 569ms | tok/sec: 460,799 | mfu: 11.1% | epoch: 1 | remaining: 239s    
step 00115 (20.5%) | loss: 3.820730 | lrm: 1.00 | dt: 495ms | tok/sec: 529,565 | mfu: 12.8% | epoch: 1 | remaining: 238s    
step 00116 (20.6%) | loss: 3.807784 | lrm: 1.00 | dt: 471ms | tok/sec: 556,486 | mfu: 13.4% | epoch: 1 | remaining: 238s    
step 00117 (20.8%) | loss: 3.796312 | lrm: 1.00 | dt: 538ms | tok/sec: 487,372 | mfu: 11.8% | epoch: 1 | remaining: 237s    
step 00118 (21.0%) | loss: 3.794629 | lrm: 1.00 | dt: 515ms | tok/sec: 508,961 | mfu: 12.3% | epoch: 1 | remaining: 237s    
step 00119 (21.1%) | loss: 3.789755 | lrm: 1.00 | dt: 542ms | tok/sec: 483,225 | mfu: 11.7% | epoch: 1 | remaining: 236s    
step 00120 (21.3%) | loss: 3.780740 | lrm: 1.00 | dt: 515ms | tok/sec: 509,389 | mfu: 12.3% | epoch: 1 | remaining: 236s    
step 00121 (21.5%) | loss: 3.775120 | lrm: 1.00 | dt: 573ms | tok/sec: 457,559 | mfu: 11.1% | epoch: 1 | remaining: 235s    
step 00122 (21.7%) | loss: 3.765400 | lrm: 1.00 | dt: 466ms | tok/sec: 562,696 | mfu: 13.6% | epoch: 1 | remaining: 234s    
step 00123 (21.8%) | loss: 3.749174 | lrm: 1.00 | dt: 503ms | tok/sec: 521,358 | mfu: 12.6% | epoch: 1 | remaining: 234s    
step 00124 (22.0%) | loss: 3.744025 | lrm: 1.00 | dt: 519ms | tok/sec: 504,804 | mfu: 12.2% | epoch: 1 | remaining: 233s    
step 00125 (22.2%) | loss: 3.739886 | lrm: 1.00 | dt: 505ms | tok/sec: 518,596 | mfu: 12.5% | epoch: 1 | remaining: 233s    
step 00126 (22.4%) | loss: 3.735983 | lrm: 1.00 | dt: 535ms | tok/sec: 489,546 | mfu: 11.8% | epoch: 1 | remaining: 232s    
step 00127 (22.5%) | loss: 3.738147 | lrm: 1.00 | dt: 490ms | tok/sec: 534,745 | mfu: 12.9% | epoch: 1 | remaining: 232s    
step 00128 (22.7%) | loss: 3.728091 | lrm: 1.00 | dt: 515ms | tok/sec: 509,216 | mfu: 12.3% | epoch: 1 | remaining: 231s    
step 00129 (22.9%) | loss: 3.725656 | lrm: 1.00 | dt: 565ms | tok/sec: 463,567 | mfu: 11.2% | epoch: 1 | remaining: 231s    
step 00130 (23.1%) | loss: 3.713789 | lrm: 1.00 | dt: 469ms | tok/sec: 559,397 | mfu: 13.5% | epoch: 1 | remaining: 230s    
step 00131 (23.2%) | loss: 3.700781 | lrm: 1.00 | dt: 621ms | tok/sec: 422,191 | mfu: 10.2% | epoch: 1 | remaining: 230s    
step 00132 (23.4%) | loss: 3.696441 | lrm: 1.00 | dt: 450ms | tok/sec: 583,169 | mfu: 14.1% | epoch: 1 | remaining: 229s    
step 00133 (23.6%) | loss: 3.689768 | lrm: 1.00 | dt: 553ms | tok/sec: 474,240 | mfu: 11.5% | epoch: 1 | remaining: 229s    
step 00134 (23.8%) | loss: 3.684098 | lrm: 1.00 | dt: 460ms | tok/sec: 569,581 | mfu: 13.8% | epoch: 1 | remaining: 228s    
step 00135 (23.9%) | loss: 3.676861 | lrm: 1.00 | dt: 481ms | tok/sec: 545,414 | mfu: 13.2% | epoch: 1 | remaining: 228s    
step 00136 (24.1%) | loss: 3.670122 | lrm: 1.00 | dt: 495ms | tok/sec: 529,297 | mfu: 12.8% | epoch: 1 | remaining: 227s    
step 00137 (24.2%) | loss: 3.671199 | lrm: 1.00 | dt: 434ms | tok/sec: 603,557 | mfu: 14.6% | epoch: 1 | remaining: 227s    
step 00138 (24.4%) | loss: 3.663529 | lrm: 1.00 | dt: 500ms | tok/sec: 524,532 | mfu: 12.7% | epoch: 1 | remaining: 226s    
step 00139 (24.5%) | loss: 3.668175 | lrm: 1.00 | dt: 454ms | tok/sec: 576,847 | mfu: 13.9% | epoch: 1 | remaining: 226s    
step 00140 (24.7%) | loss: 3.651324 | lrm: 1.00 | dt: 519ms | tok/sec: 504,623 | mfu: 12.2% | epoch: 1 | remaining: 225s    
step 00141 (24.9%) | loss: 3.646862 | lrm: 1.00 | dt: 493ms | tok/sec: 532,070 | mfu: 12.9% | epoch: 1 | remaining: 225s    
step 00142 (25.0%) | loss: 3.646131 | lrm: 1.00 | dt: 610ms | tok/sec: 429,574 | mfu: 10.4% | epoch: 1 | remaining: 224s    
step 00143 (25.2%) | loss: 3.642560 | lrm: 1.00 | dt: 507ms | tok/sec: 517,496 | mfu: 12.5% | epoch: 1 | remaining: 224s    
step 00144 (25.4%) | loss: 3.636524 | lrm: 1.00 | dt: 447ms | tok/sec: 586,791 | mfu: 14.2% | epoch: 1 | remaining: 223s    
step 00145 (25.6%) | loss: 3.633206 | lrm: 1.00 | dt: 484ms | tok/sec: 541,081 | mfu: 13.1% | epoch: 1 | remaining: 223s    
step 00146 (25.7%) | loss: 3.633099 | lrm: 1.00 | dt: 516ms | tok/sec: 508,039 | mfu: 12.3% | epoch: 1 | remaining: 222s    
step 00147 (25.9%) | loss: 3.620339 | lrm: 1.00 | dt: 653ms | tok/sec: 401,460 | mfu: 9.7% | epoch: 1 | remaining: 222s    
step 00148 (26.1%) | loss: 3.617814 | lrm: 1.00 | dt: 453ms | tok/sec: 578,826 | mfu: 14.0% | epoch: 1 | remaining: 221s    
step 00149 (26.3%) | loss: 3.611149 | lrm: 1.00 | dt: 540ms | tok/sec: 485,196 | mfu: 11.7% | epoch: 1 | remaining: 221s    
step 00150 (26.4%) | loss: 3.609534 | lrm: 1.00 | dt: 487ms | tok/sec: 537,932 | mfu: 13.0% | epoch: 1 | remaining: 220s    
step 00151 (26.6%) | loss: 3.607533 | lrm: 1.00 | dt: 534ms | tok/sec: 490,973 | mfu: 11.9% | epoch: 1 | remaining: 220s    
step 00152 (26.8%) | loss: 3.602526 | lrm: 1.00 | dt: 729ms | tok/sec: 359,819 | mfu: 8.7% | epoch: 1 | remaining: 219s    
step 00153 (27.0%) | loss: 3.598810 | lrm: 1.00 | dt: 539ms | tok/sec: 486,098 | mfu: 11.7% | epoch: 1 | remaining: 218s    
step 00154 (27.2%) | loss: 3.603188 | lrm: 1.00 | dt: 587ms | tok/sec: 446,728 | mfu: 10.8% | epoch: 1 | remaining: 218s    
step 00155 (27.4%) | loss: 3.606281 | lrm: 1.00 | dt: 577ms | tok/sec: 454,376 | mfu: 11.0% | epoch: 1 | remaining: 217s    
